公司名稱,公司產品,職稱,公司所在縣市
"91APP_九易宇軒股份有限公司
                    ","OMO是執行D2C最有效方法，91APP作為品牌背後重要的數位軍火庫，持續深化與擴大OMO在D2C趨勢下的各項產品服務，協助品牌數位轉型，快速切入電商市場與全通路布局，提升效率，促進獲利，透過 91APP 產品X服務的獨特商業模式，助攻客戶，向上成長，發揮 D2C 綜效。

展望未來，91APP將持續強化大型客戶市佔率，深化與推出新產品服務、結合合作夥伴聯軍力量，擴大營運規模，並將持續掌握趨勢，累積營運實務經驗，引領品牌數位升級。
","380    軟體測試工程師 / Quality Assurance Engineer (QA)
Name: job_name, dtype: object","380    台北市
Name: company_addr, dtype: object"
"GARMIN_台灣國際航電股份有限公司
                    ","【使命 Our Mission】成為一個永續經營的公司; 在汽車、航空、航海、戶外休閒、以及運動各領域，提供客戶生活中不可或缺的卓越產品。 
【願景 Our Vision】 在每一個市場領域都成為全球的領導者; 以驚豔的設計，卓越的品質，以及超越的價值廣受客戶喜愛。 
【價值 Our Values】 我們的企業文化是建立在誠實、廉正與尊重的基礎上; 抱持決心全力以赴的精神，以實踐對同仁、客戶與合作夥伴的承諾。

● 雨天經營學 - Garmin經營管理的核心精神：秉持著「產品至上」的理念，在產品上提早研發布局，成功跨足智慧穿戴市場並開拓一片新藍海；在財務上維持產品毛利與淨利表現，不舉債保持高現金流量以應付千變萬化的市場狀況。
● 走鋼索的勇氣 - Garmin總是挑最難的下手：在2000年美國解除GPS定位限制以前，就提早進入GPS領域進行研究，成為第一位探勘者，並從最困難的航空領域產品進行產品開發。","152    IT軟體工程師(商業智慧與流程管理)_汐止UTOWN
175        系統驗證專案管理工程師(車載產品_車載網路)
222                    測試製程工程師_汐止
252       MES工程師(Web Application)
297        自動化工程師(機電/電控)_汐止/林口/新店
336              軟體工程師(Bluetooth)
389            系統維運助理(副)工程師(車載產品)
Name: job_name, dtype: object","152    新北市
175    新北市
222    新北市
252    新北市
297    新北市
336    新北市
389    新北市
Name: company_addr, dtype: object"
"Inventec_英業達股份有限公司
                    ",英業達全體員工秉持集團會長 葉國一先生所提出的經營理念 -「創新、品質、虛心、力行」，從虛心積極的態度，到客觀前瞻的決策思維，群策群力，不斷創新價值，貫徹執行，力求品質完美。,"362    AI 軟體工程師
Name: job_name, dtype: object","362    台北市
Name: company_addr, dtype: object"
"Molex Taiwan Ltd._台灣莫仕股份有限公司
                    ","* Molex 的願景 
通過研發、促成和整合應用技術改善人們的生活和企業的產品及業績，進而成為全球領先的電子解決方案供應商。 我們將注重由Molex 和科氏工業集團的聯合而形成的綜合能力和機會，實現其最大價值。
* 專注績效和創新
Molex 以創新和預測顧客需求而聞名，我們不吝聘請世界上最優秀、最有智慧的創新思維的專業經理人和工程師，而且大量投資於研發，目前設計生產10萬多種產品，並且在此基礎上每日推陳出新。  
* 抓住成長機會，不斷發展壯大
我們知道，世界級企業需要世界級人才。因此，我們與員工共同制定職業生涯目標，並使目標具有挑戰性，且得到員工的積極響應。Molex意識到，沒有員工的成功，就沒有公司的成功。
* 多樣性和包容性
在Molex，我們尊重員工的多樣性，不斷推展多樣性和包容性文化建設，在全球各單位激發創新意識，以推動公司實現高績效。我們希望大家積極參與公司的多樣性文化建設。多樣性對我們來說，不僅是指種族、民族和老中青的差異，其內涵比這些差異豐富得多。多樣性文化旨在通過創造包容性的環境來歡迎和融合各種想法、意見和觀點，以實現創新。 
* 環保健康和安全理念
保護全球環境，是所有人的重要任務。Molex全球各單位提供安全的工作環境，採取環保經營方式。我們的全球ECOCARE環保計畫，確保我們對環境產生積極影響。
* 我們為員工提供
-有競爭力的薪酬和福利   -學習和發展機會   -全球經驗   -對所有民族和文化的尊重   -健康和安全的工作條件

請應徵者注意: 
- Molex 所有職位均不會有性別限制                                                                           
- Molex 所有職位應徵者須年滿18歲
- Molex 歡迎所有人員前來應徵，本公司是一個提供公平就業機會的雇主。對於種族、膚色、宗教信仰、性別、原始國籍、出身、年齡、性別認同、公民省份、性取向、婚姻狀態、父母或家庭情況、懷孕、未服兵役、遺傳信息、精神或身體障礙或殘疾、退伍軍人或其它國家或當地法律規定禁止的事項，我們在招聘和雇傭過程中無任何歧視。我們不會拒絕聘用任何經適當調整可以履行主要工作職能的殘疾人士。","240    Senior RF/Mixed Signal Product Engineer - CCS ...
Name: job_name, dtype: object","240    新竹市
Name: company_addr, dtype: object"
"O-Bank_王道商業銀行股份有限公司
                    ","王道銀行以「榮譽、誠信、團隊、專業、創新」為企業的核心價值，並以前瞻的眼光、積極的創新、專業的能力，掌握業務發展契機，追求永續的經營與卓越的成長。

反映在實際的經營理念上，本行努力實踐對顧客、股東、員工與社會的四大承諾：對顧客，以專業的態度，不斷創新業務，以滿足客戶的需求﹔對股東，以穩健踏實的經營、卓越的成長，期能為股東提供最大化的投資效益﹔對員工，希望藉由榮譽制度及團隊合作，達到企業與員工共同成長、共攀高峰的目的﹔對社會，則本著企業公民回饋社會的信念，為經濟發展及社會進步貢獻一己之力。","278    數據專案規劃驅動人員
Name: job_name, dtype: object","278    台北市
Name: company_addr, dtype: object"
"OmniVision_台灣豪威科技有限公司
                    ","我們致力於精益求精、追求卓越，透過強化核心競爭力以增進並創新影像解決方案，使其有效運用於各項尖端驅動輔助系統並佈及全球。在企業經營上，堅持提供優良的品質與服務，並對客戶、供應商以及我們生活的社會遵守誠信和公平原則；尤其，客戶的滿意度對我們更是至關重要。

Our commitment to excellence is demonstrated by our drive to continuously improve what we do through our adherence to forward-looking principles. Enhance and create innovative solutions by continuously improving our capabilities and core competencies. OMNIVISION's products and solutions are enabling cutting-edge driver assistant systems that are being deployed around the world. Dedication to quality and service is integral to our business practices. Maintain integrity and fairness with our customers, our suppliers, and the communities in which we live and work. Customer satisfaction is paramount to our business.
","93    (Staff/Sr.) Test Integration Engineer - I
Name: job_name, dtype: object","93    新竹市
Name: company_addr, dtype: object"
"Roku_六科匯流股份有限公司
                    ","Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company’s success rather than their own. We’re independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust.

We come from diverse backgrounds and bring unique strengths. We are a team, and every player is key to Roku’s success.","298           Business Intelligence Engineer
319    Senior Business Intelligence Engineer
361           Manager, Business Intelligence
Name: job_name, dtype: object","298    新竹縣
319    新竹縣
361    新竹縣
Name: company_addr, dtype: object"
"TUV_台灣德國萊因技術監護顧問股份有限公司
                    "," 對下列業務提供認可、鑑定、檢驗及諮詢技術服務︰
 E606010 用電設備檢驗維護業
F213030 電腦及事務性機器設備零售業
F213040 精密儀器零售業
F213100 污染防治設備零售業
F218010 資訊軟體零售業
F219010 電子材料零售業
F401010 國際貿易業
I101080 工、礦顧問業
I103060 管理顧問業
I199990 其他顧問服務業
I301010 資訊軟體服務業
I301020 資料處理服務業
I301050 實境體感應用服務業
IB01010 建築物公共安全檢查業
IF01010 消防安全設備檢修業
IF04010 非破壞檢測業
IG02010 研究發展服務業
IG03010 能源技術服務業
IZ07010 公證業
IZ09010 管理系統驗證業
IZ13010 網路認證服務業
IZ15010 市場研究及民意調查業
IZ99990 其他工商服務業
J101050 環境檢測服務業
J101990 其他環境衛生及污染防治服務業
JB01010 會議及展覽服務業
ZZ99999 除許可業務外，得經營法令非禁止或限制之業務
","84    專案經理-System Development of Wireless / IoT(4834)
Name: job_name, dtype: object","84    台北市
Name: company_addr, dtype: object"
"TVBS_聯利媒體股份有限公司
                    ","我們重視的「T觀點」
真實Truth、信賴Trust、科技Technology
「持續運用最領先的科技、提供最真實的資訊，成為最受信賴的品牌」

我們要「一步一腳印 發現新台灣」
We Lead The Market
與時俱進，以最新科技與專業維持媒體領導品牌的地位
We Are The Consciousness Of The Society
導正台灣媒體生態，真實公正報導，堅守社會教育者的良知良能
We Care About This Land And The People Live On It
善用媒體資源，善盡社會責任，關懷生態文明與永續發展

我們的「十點不一樣」
立足亞洲市場，運用全球思維，延伸媒體觸角。以多角佈局，結合旗下IP品牌，打造兼具新聞報導、影視娛樂、電商通路、演藝經紀和生技產品等於一身的全方位媒體。","322    資深PHP網站工程師Sr. Backend Engineer(CodeIgniter, La...
Name: job_name, dtype: object","322    台北市
Name: company_addr, dtype: object"
"Vyond_香港商高創動訊有限公司台灣分公司
                    ","用戶可以透過Vyond的平台，簡單快捷地自行製作動畫，讓商界、學校、中小企以至個別用戶便捷地在網上直接製作及發佈動畫影片。

MAKING A VIDEO SHOULDN’T BE A DRAG. IT SHOULD BE DRAG & DROP.

Videos could and should be everywhere. Businesses use them to explain complex topics, train employees or just share a sense of humanity. Teachers and students use them to exercise higher-order learning skills, such as creativity and critical thinking, in the classroom. Individuals use them to make their friends laugh, better visualize their favorite song, or just say, “I miss you” to someone special.

What’s the problem? Making a video is hard. People perceive it as one of those black-box processes they can’t even wrap their head around. If they think it through (most mentally run screaming before even getting this far), they think it’s going to take a long time, cost a lot and be really, really hard.

That’s how the company got started. Point, click, drag, drop. Voila! Animated videos for everyone!","261    Senior Software Engineer (Animation and Graphi...
360                                 Lead DevOps Engineer
372                                Senior Engineer (R&D)
Name: job_name, dtype: object","261    台北市
360    台北市
372    台北市
Name: company_addr, dtype: object"
