公司名稱,公司產品,職稱,公司所在縣市
"104測試_APP公司(請勿應徵)
                    ","測試經營理念auto_3777
","198    測試職務_請勿應徵_web_qa_e2e_主動應徵
Name: job_name, dtype: object","198    台北市
Name: company_addr, dtype: object"
"Intel_美商英特爾亞太科技有限公司台灣分公司
                    ","*具有廣泛市場潛力的產品組合*
英特爾的產品組合提供了端到端解決方案，可滿足以資料為中心環境之與時俱進的需求。英特爾不斷為廣泛的市場開發新技術和產品，從邊緣運算到5G網路、雲端運算、人工智慧和自動駕駛，我們的產品為更具智慧和互聯特性的世界，提供了必要的構建基礎。

*A Portfolio with Broad Market Potential*
Our product portfolio provides end-to-end solutions that address the needs of an ever-evolving data-centric world. We are continuously developing new technologies and products for a broad spectrum of markets. From edge computing to the 5G network, cloud computing, AI, and autonomous driving, our products deliver the necessary building blocks for an increasingly smart and connected world.


http://www.intel.com/products/index.htm?iid=CorporateV3+Header_2_Product_Head","230    JR0241270 Data Engineer
Name: job_name, dtype: object","230    新竹市
Name: company_addr, dtype: object"
"Inventec_英業達股份有限公司
                    ",,"178    NPU(Neural Network Processor) AI軟體開發資深工程師(經副理級)
Name: job_name, dtype: object","178    台北市
Name: company_addr, dtype: object"
"Inventec_英業達股份有限公司
                    ",英業達全體員工秉持集團會長 葉國一先生所提出的經營理念 -「創新、品質、虛心、力行」，從虛心積極的態度，到客觀前瞻的決策思維，群策群力，不斷創新價值，貫徹執行，力求品質完美。,"95    NPU AI晶片系統架構開發資深工程師(經副理級)
Name: job_name, dtype: object","95    台北市
Name: company_addr, dtype: object"
"LILEE SYSTEMS_理立系統股份有限公司
                    ","提供軌道產業用的無線通訊系統(For Train Control), 針對高鐵/傳統鐵路/捷運各自提供專網專用的無線通訊方案
提供完整的Core Network方案
1. OBU(On Board Unit), 列車上的Radio
2. Wayside Unit, 於鐵道沿線的中繼站台
3. Base station, 長距離高功率的基地台
4. Mobility Controller, 提供無間隙的網路管理, 能一次管理數百台的基地台或者中繼及車上機

我們將使用Lilee 的PTC (積極或精確列車控制) 通信解決方案來展示我們最前沿的技術和產品，因為列車控制系統已從窄帶通訊的GSM-R發展到寬帶通訊的PTC。

PTC 的主要概念是列車在行進過程中將會接收到車體位置以及可以繼續安全行駛的信號，或稱為行駛許可。車載儀器將會執行所收到的指示，以防止不安全的行駛發生。 PTC系統在無信號或有信號的區域均應正常工作，並會使用GPS衛星定位系統追踪列車的行進。 PTC的主要特色在於：
有效防止車體分離或列車相撞
強制遵守規定的行進速度
強制遵守臨時速度限制
保障鐵路工人路旁安全

PTC 的主要概念是列車在行進過程中將會接收到車體位置以及可以繼續安全行駛的信號，或稱為行駛許可。車載儀器將會執行所收到的指示

* 2008 年美國總統布什簽署國會通過條例草案，規定所有鐵路系統於2015年底前實施PTC 。

Positive Train Control (PTC)
+Scalable and reliable communications infrastructure for Positive Train Control (PTC)
+Back office, locomotive, wayside and Hyrail solutions
+Hardware, software and professional services

Connected Transportation
+Integrated communications hub
+Passenger WiFi
+On-board applications
+First responders

Fleet and Passenger Security
+Complete security solution
+Live monitoring and local storage
+Automatic file upload

Carriage and Passenger Information
+Sensor data collection
+Passenger Information
+Back office integration

Industrial 4.0
+Emerging IoT/M2M markets that could benefit from our technology and expertise include:
Energy, Environmental monitoring, Oil & gas","50     【ACES】軟體工程師Software Engineer  – Planning and N...
162                【ACES】 System Software Engineer 軟體工程師
175    【ACES】軟體工程師Software Engineer - Localization an...
176        製程測試工程師 Project Engineer (Manufacturing Test)
270    【ACES】軟體工程師Software Engineer - Objects Prediction
Name: job_name, dtype: object","50     新北市
162    新北市
175    新北市
176    新北市
270    新北市
Name: company_addr, dtype: object"
"Qualcomm Semiconductor Corporation_高通半導體有限公司
                    ","We often do what many thought was impossible.
Qualcomm invents breakthrough technologies that transform how the world connects, computes and communicates. When we connected the phone to the Internet, the mobile revolution was born. Today, our inventions are the foundation for life-changing products, experiences, and industries. As we lead the world to 5G, we envision this next big change in cellular technology spurring a new era of intelligent, connected devices and enabling new opportunities.","245    Computer Vision Engineer, Staff (Hsinchu)(3051...
Name: job_name, dtype: object","245    新竹市
Name: company_addr, dtype: object"
"TechNexion Ltd_彤晟科技股份有限公司
                    ","彤晟科技股份有限公司為國際經營、年輕有活力的團隊，給予員工空間一展所長，經由實務經驗成長和提昇專業技能，實現個人目標成就感，與員工一同開創未來的願景。

Technexion  is an international, young and dynamic team. It gives the staff space to show their strong points. Through practical experience, they can grow and improve their professional skills, realize their personal goal and sense of achievement, and create a vision for the future with their employees.","108                                         FAE Engineer
174    Senior Embedded Software Engineer (ARM team, BSP)
Name: job_name, dtype: object","108    新北市
174    新北市
Name: company_addr, dtype: object"
"一踢科技系統整合有限公司
                    ","一小步、一大步，都是前進，在人與機器合作的時代，盡一份心力，用鍵盤展現創造力，彈指之間為世界的未來創造無限可能，透過系統導入、數據化分析為各行各業、為社會帶來貢獻，我們努力前進、我們相信一起走走得更遠，我們和客戶併肩做夢，我們期許夢可以做的大一些。

YITI理念

【誠信 I】   在大數據時代，數據即企業資產，我們重視客戶的資產，對員工、對客戶誠實

【感恩 T】  時時保持感恩，感謝員工努力與付出、感謝客戶信任與支持

【溫暖 W】 重視包容與同理心，站在客戶角度思考體貼需求，員工間彼此關懷致力提升幸福感

【創新 I】   資訊技術不斷更新，持續努力整合應用，提供客戶最新的科技與服務","126              AI人工智慧工程師&後端工程師
226    全端工程師 Full Stack Engineer
248          PHP Laravel 網頁後端工程師
Name: job_name, dtype: object","126    台北市
226    台北市
248    台北市
Name: company_addr, dtype: object"
"一騰資訊服務股份有限公司
                    ","秉持『匯聚人才、創新服務、專業品質』為經營理念，以人才發展為基礎，架構創新技術服務流程，組織專業團隊提升交付品質，成為客戶信賴的長期合作夥伴!

公司重視員工長期職能發展，創新業界規畫數位生涯發展平台、打造金融科技(Fintech)/雲端計算(Cloud)/大數據分析(Big Data) 等相關領域黃金履歷計畫，創造有溫度的服務體驗。

員工的成長才是公司的成長，團隊的專業能力才是公司的核心價值及市場競爭力！
","72    培訓軟體工程師(Java)
Name: job_name, dtype: object","72    台北市
Name: company_addr, dtype: object"
"上尚文化企業有限公司
                    ","我們是很不一樣的科學教育家，
我們認同生活就像實驗室，
科學應該是發生在任何時間地點，
而非只是考試的分數結果，
藉由遊戲及動手做喚起孩子對科學的興趣，
激發孩子探索的本能，增加自我信心，
然而，每位孩子都是獨一無二，
為了協助孩子找到自己的方向，
我們的課程融合科學及才藝，
有機會讓孩子多元學習，
盡早發覺自己的專才方向，
展開美麗的人生，
這，
就是上尚文化存在的使命!


上尚文化經營理念
一、堅持誠信原則
二、專注於「專業科學教育」本業
三、放眼東亞與中國市場，全球化經營
四、著眼長期策略，追求永續理念
五、讓孩子愛上科學是我們的責任
六、專業熱情是我們工作與服務的原則
七、挑戰各方面的創新，確保企業高度活力
八、營造有趣、富挑戰且快樂的工作環境
九、高度開放型管理模式
十、兼顧員工福利與公司權益，取諸社會、還諸社會","136    程式設計老師/程式設計研發講師
Name: job_name, dtype: object","136    新北市
Name: company_addr, dtype: object"
